"","episode_overall","aired_date","year","season","episode","title","directed_by","written_by","us_viewers_millions"
"103","103",2016-04-24,2016,6,"15","""Pro Tiki/Con Tiki""","Brian Loschiavo","Jon Schroeder",2.35
"104","104",2016-05-08,2016,6,"16","""Bye Bye Boo Boo""","Tyree Dillihay","Scott Jacobson",2.31
"105","105",2016-05-15,2016,6,"17","""The Horse Rider-er""","Tyree Dillihay","Nora Smith",2.27
"106","106",2016-05-22,2016,6,"18","""Secret Admiral-irer""","Brian Loschiavo","Holly Schlesinger & H. Jon Benjamin",2.23
"107","107",2016-05-22,2016,6,"19","""Glued, Where's My Bob?""","Bernard Derriman","Steven Davis & Kelvin Yu",2.04
"108","108",2016-09-25,2016,7,"1","""Flu-ouise""","Tyree Dillihay","Nora Smith",2.6
"109","109",2016-10-09,2016,7,"2","""Sea Me Now""","Chris Song","Dan Fybel",2.79
"110","110",2016-10-23,2016,7,"3","""Teen-a Witch""","Chris Song","Holly Schlesinger",3.01
"111","111",2016-11-06,2016,7,"4","""They Serve Horses, Don't They?""","Tyree Dillihay","Steven Davis & Kelvin Yu",2.42
"112","112",2016-11-20,2016,7,"5","""Large Brother, Where Fart Thou?""","Chris Song","Lizzie Molyneux & Wendy Molyneux",2.35
"113","113",2016-11-20,2016,7,"6","""The Quirkducers""","Mauricio Pardo","Steven Davis & Kelvin Yu",2.46
"114","114",2016-11-27,2016,7,"7","""The Last Gingerbread House on the Left""","Chris Song","Nora Smith",2.44
"115","115",2017-01-08,2017,7,"8","""Ex Mach Tina""","Brian Loschiavo","Greg Thompson",3.58
"116","116",2017-02-12,2017,7,"9","""Bob Actually""","Chris Song","Steven Davis & Kelvin Yu",1.67
"117","117",2017-02-19,2017,7,"10","""There's No Business Like Mr. Business Business""","Tyree Dillihay","Lizzie Molyneux & Wendy Molyneux",1.97
"118","118",2017-03-05,2017,7,"11","""A Few 'Gurt Men""","Tyree Dillihay","Jon Schroeder",1.77
"119","119",2017-03-12,2017,7,"12","""Like Gene for Chocolate""","Brian Loschiavo","Rich Rinaldi",1.82
"120","120",2017-03-19,2017,7,"13","""The Grand Mama-Pest Hotel""","Chris Song","Scott Jacobson",1.93
"121","121",2017-03-26,2017,7,"14","""Aquaticism""","Brian Loschiavo","Dan Fybel",1.86
"122","122",2017-03-26,2017,7,"15","""Ain't Miss Debatin'""","Mauricio Pardo","Greg Thompson",1.86
